timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/04/14 11:09:25.849, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:25.856, 2 %, 0 MiB, 81920 MiB
2026/04/14 11:09:30.863, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:30.863, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:35.864, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:35.864, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:40.864, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:40.865, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:45.865, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:45.865, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:50.866, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:50.866, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:55.867, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:09:55.867, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:00.867, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:00.868, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:05.868, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:05.868, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:10.869, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:10.869, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:15.870, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:15.870, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:20.871, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:20.871, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:25.871, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:25.871, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:30.872, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:30.872, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:10:35.873, 2 %, 423 MiB, 81920 MiB
2026/04/14 11:10:35.873, 0 %, 0 MiB, 81920 MiB
