timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/06/09 23:58:58.744, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:58:58.751, 2 %, 0 MiB, 81920 MiB
2026/06/09 23:59:03.758, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:03.758, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:08.759, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:08.759, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:13.759, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:13.760, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:18.760, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:18.761, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:23.761, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:23.761, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:28.762, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:28.762, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:33.763, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:33.763, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:38.764, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:38.764, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:43.765, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:43.765, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:48.766, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:48.766, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:53.767, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:53.767, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:58.768, 0 %, 0 MiB, 81920 MiB
2026/06/09 23:59:58.768, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:03.769, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:03.769, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:08.770, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:08.770, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:13.771, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:13.771, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:18.772, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:18.772, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:23.773, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:23.773, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:28.774, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:28.774, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:33.775, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:33.775, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:38.776, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:38.776, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:43.777, 0 %, 423 MiB, 81920 MiB
2026/06/10 00:00:43.777, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:48.778, 0 %, 425 MiB, 81920 MiB
2026/06/10 00:00:48.778, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:53.778, 0 %, 435 MiB, 81920 MiB
2026/06/10 00:00:53.779, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:00:58.779, 0 %, 435 MiB, 81920 MiB
2026/06/10 00:00:58.780, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:03.780, 0 %, 461 MiB, 81920 MiB
2026/06/10 00:01:03.781, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:08.781, 35 %, 453 MiB, 81920 MiB
2026/06/10 00:01:08.781, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:13.782, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:01:13.783, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:18.793, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:01:18.793, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:23.794, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:01:23.794, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:28.795, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:01:28.795, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:33.796, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:01:33.796, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:38.797, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:01:38.797, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:43.798, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:01:43.798, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:48.799, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:01:48.799, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:53.800, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:01:53.800, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:01:58.801, 0 %, 463 MiB, 81920 MiB
