timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/04/14 12:13:04.739, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:04.745, 2 %, 0 MiB, 81920 MiB
2026/04/14 12:13:09.752, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:09.752, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:14.752, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:14.753, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:19.753, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:19.753, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:24.754, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:24.754, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:29.755, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:29.755, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:34.756, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:34.756, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:39.757, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:39.757, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:44.758, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:44.758, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:49.759, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:49.759, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:54.760, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:54.760, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:59.760, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:13:59.760, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:04.761, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:04.761, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:09.762, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:09.762, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:14.763, 0 %, 423 MiB, 81920 MiB
2026/04/14 12:14:14.763, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:19.764, 0 %, 425 MiB, 81920 MiB
2026/04/14 12:14:19.764, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:24.764, 0 %, 435 MiB, 81920 MiB
2026/04/14 12:14:24.765, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:29.765, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:14:29.765, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:34.766, 78 %, 465 MiB, 81920 MiB
2026/04/14 12:14:34.766, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:39.767, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:14:39.768, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:44.768, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:14:44.769, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:49.770, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:14:49.770, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:54.770, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:14:54.771, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:14:59.772, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:14:59.772, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:15:04.773, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:15:04.773, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:15:09.773, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:15:09.774, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:15:14.774, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:15:14.775, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:15:19.776, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:15:19.776, 0 %, 0 MiB, 81920 MiB
