timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/06/10 08:22:02.739, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:02.745, 2 %, 0 MiB, 81920 MiB
2026/06/10 08:22:07.752, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:07.752, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:12.753, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:12.753, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:17.754, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:17.754, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:22.755, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:22.755, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:27.756, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:27.756, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:32.757, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:32.757, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:37.757, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:37.758, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:42.758, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:42.758, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:47.759, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:47.759, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:52.760, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:52.760, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:57.761, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:22:57.761, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:02.761, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:02.762, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:07.762, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:07.763, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:12.763, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:12.764, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:17.764, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:17.764, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:22.765, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:22.765, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:27.766, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:27.766, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:32.767, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:32.767, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:37.768, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:37.768, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:42.769, 0 %, 423 MiB, 81920 MiB
2026/06/10 08:23:42.769, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:47.770, 0 %, 425 MiB, 81920 MiB
2026/06/10 08:23:47.770, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:52.771, 0 %, 435 MiB, 81920 MiB
2026/06/10 08:23:52.771, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:23:57.772, 4 %, 501 MiB, 81920 MiB
2026/06/10 08:23:57.772, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:02.772, 19 %, 453 MiB, 81920 MiB
2026/06/10 08:24:02.772, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:07.779, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:07.779, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:12.828, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:12.828, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:17.829, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:17.829, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:22.830, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:22.830, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:27.831, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:27.831, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:32.831, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:32.832, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:37.832, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:37.833, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:42.833, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:42.834, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:47.835, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:47.835, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:52.836, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:52.836, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:24:57.837, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:24:57.837, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:02.838, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:02.838, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:07.839, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:07.839, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:12.840, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:12.840, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:17.841, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:17.841, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:22.842, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:22.842, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:27.843, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:27.843, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:32.844, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:32.844, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:37.845, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:37.845, 0 %, 0 MiB, 81920 MiB
