timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/04/15 19:17:37.511, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:17:37.517, 2 %, 0 MiB, 81920 MiB
2026/04/15 19:17:42.524, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:17:42.524, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:17:47.525, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:17:47.525, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:17:52.526, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:17:52.526, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:17:57.526, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:17:57.526, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:02.527, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:02.527, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:07.528, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:07.528, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:12.529, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:12.529, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:17.529, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:17.530, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:22.530, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:22.530, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:27.531, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:27.531, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:32.532, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:32.532, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:37.533, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:37.533, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:42.534, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:42.534, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:47.535, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:47.535, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:52.535, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:52.536, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:57.536, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:18:57.536, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:02.537, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:02.537, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:07.538, 0 %, 423 MiB, 81920 MiB
2026/04/15 19:19:07.538, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:12.539, 0 %, 425 MiB, 81920 MiB
2026/04/15 19:19:12.539, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:17.540, 0 %, 425 MiB, 81920 MiB
2026/04/15 19:19:17.540, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:22.541, 0 %, 427 MiB, 81920 MiB
2026/04/15 19:19:22.541, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:27.541, 0 %, 435 MiB, 81920 MiB
2026/04/15 19:19:27.541, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:32.542, 2 %, 439 MiB, 81920 MiB
2026/04/15 19:19:32.542, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:37.543, 0 %, 501 MiB, 81920 MiB
2026/04/15 19:19:37.543, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:42.543, 20 %, 415 MiB, 81920 MiB
2026/04/15 19:19:42.543, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:47.544, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:19:47.544, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:52.545, 82 %, 573 MiB, 81920 MiB
2026/04/15 19:19:52.545, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:19:57.548, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:19:57.548, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:02.553, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:02.553, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:07.554, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:07.554, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:12.555, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:12.556, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:17.556, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:17.556, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:22.557, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:22.558, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:27.559, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:27.559, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:32.560, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:32.561, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:37.562, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:37.562, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:42.563, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:42.563, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:47.564, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:47.564, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:52.565, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:52.565, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:20:57.566, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:20:57.566, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:02.567, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:02.567, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:07.567, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:07.568, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:12.568, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:12.568, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:17.569, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:17.569, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:22.570, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:22.570, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:27.571, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:27.571, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:32.572, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:32.572, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:37.573, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:37.573, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:42.574, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:42.574, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:47.574, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:47.574, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:52.575, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:52.575, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:21:57.576, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:21:57.576, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:02.577, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:02.577, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:07.578, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:07.578, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:12.579, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:12.579, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:17.580, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:17.580, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:22.582, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:22.582, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:27.583, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:27.583, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:32.584, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:32.584, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:37.585, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:37.585, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:42.586, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:42.586, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:47.587, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:47.587, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:52.588, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:52.588, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:22:57.589, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:22:57.589, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:02.590, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:02.590, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:07.591, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:07.591, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:12.592, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:12.592, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:17.593, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:17.593, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:22.594, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:22.594, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:27.595, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:27.595, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:32.596, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:32.596, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:37.597, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:37.597, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:42.598, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:42.598, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:47.599, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:47.599, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:52.600, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:52.600, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:23:57.601, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:23:57.601, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:24:02.601, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:24:02.602, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:24:07.602, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:24:07.602, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:24:12.603, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:24:12.603, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:24:17.604, 0 %, 463 MiB, 81920 MiB
2026/04/15 19:24:17.604, 0 %, 0 MiB, 81920 MiB
2026/04/15 19:24:22.605, 0 %, 463 MiB, 81920 MiB
